FrameID,SolidPlane,LayerRadius,h,ContactAngle,Time/ps,Contact angle/°,Radius/Å,E_adh/(eV/Å²),Normalized MSI descriptor,Chemical potential(D)/(kJ/mol),E_adh/(J/m²)
0,13.7,15.13,13.91,85.16,0,85.16,15.13,-0.10843735061386828,-0.5421867530693414,19.372576341310225,-1.7371663568341698
1,13.7,15.13,13.91,85.16,1,85.16,15.13,-0.10843735061386828,-0.5421867530693414,19.372576341310225,-1.7371663568341698
2,13.7,14.59,14.44,89.42,2,89.42,14.59,-0.10101227367744599,-0.5050613683872299,20.904749586513677,-1.6182166243126848
3,13.7,13.15,15.88,100.77,3,100.77,13.15,-0.08131330354783671,-0.4065665177391835,25.626515771656717,-1.302639122836344
4,13.7,10.13,18.66,122.99,4,122.99,10.13,-0.04555073489070588,-0.2277536744535294,39.32919974154888,-0.7297227729491081
5,13.7,8.46,19.96,134.06,5,134.06,8.46,-0.03045887196903271,-0.15229435984516354,50.564748298498635,-0.487951128943904
6,13.7,7.77,20.44,138.39,6,138.39,7.77,-0.025231779787450694,-0.12615889893725346,56.528565131921845,-0.4042131121949601
7,13.7,7.34,20.71,140.95,7,140.95,7.34,-0.022340352003224064,-0.11170176001612031,60.78173245894466,-0.3578924390916495
8,13.7,5.98,21.5,148.93,8,148.93,5.98,-0.01434625765687182,-0.0717312882843591,78.37120393507053,-0.22982704766308656
9,13.7,5.84,21.53,149.66,9,149.66,5.84,-0.013695688649698124,-0.06847844324849062,80.6476120117539,-0.21940493216816395
10,13.7,5.29,21.54,152.43,10,152.43,5.29,-0.011355396102200977,-0.05677698051100488,90.82239320842578,-0.18191344555725963
11,13.7,4.05,21.86,158.98,11,158.98,4.05,-0.006654472439029325,-0.03327236219514662,125.14530648052946,-0.10660464847324978
12,13.7,3.58,21.84,161.4,12,161.4,3.58,-0.005223158999041422,-0.02611579499520711,145.18411698502823,-0.08367500716464357
13,13.7,3.09,21.91,163.96,13,163.96,3.09,-0.003893096947570618,-0.01946548473785309,173.60678786002532,-0.062367413100081294
14,13.7,1.92,22.23,170.13,14,170.13,1.92,-0.0014800787019597862,-0.00740039350979893,315.1998676622486,-0.023710860805395775
15,13.7,2.78,22.2,165.71,15,165.71,2.78,-0.0030941173892090946,-0.015470586946045473,197.7005238174074,-0.049567760575129696
16,13.7,4.07,21.99,159.04,16,159.04,4.07,-0.006616961300487324,-0.033084806502436614,124.45063769287903,-0.10600372003380693
17,13.7,4.41,21.94,157.29,17,157.29,4.41,-0.00775292779048894,-0.0387646389524447,113.03855463164537,-0.12420190320363281
18,13.7,3.94,22.28,159.93,18,159.93,3.94,-0.006072593684721295,-0.030362968423606473,129.45665627918726,-0.09728295082923513
19,13.7,4.46,22.16,157.23,19,157.23,4.46,-0.0077934072101184864,-0.03896703605059243,111.57372180598463,-0.12485038350609814
20,13.7,5.09,21.92,153.87,20,153.87,5.09,-0.010220289893920986,-0.05110144946960493,95.22460067713071,-0.1637290441006142
21,13.7,5.33,21.81,152.52,21,152.52,5.33,-0.011282804019249183,-0.05641402009624591,90.07944806309014,-0.1807505203883719
22,13.7,6.34,21.31,146.88,22,146.88,6.34,-0.016247195995785835,-0.08123597997892917,72.96452933355822,-0.2602800798524891
23,13.7,7.56,20.58,139.65,23,139.65,7.56,-0.023789639119626216,-0.11894819559813108,58.54654917208342,-0.381110018696412
24,13.7,8.27,20.1,135.25,24,135.25,8.27,-0.028981462437671458,-0.14490731218835728,52.10728196568075,-0.46428302825149675
25,13.7,8.87,19.66,131.46,25,131.46,8.87,-0.033790298294944655,-0.16895149147472327,47.452119478621626,-0.5413205786850134
26,13.7,9.35,19.29,128.3,26,128.3,9.35,-0.03802209682048599,-0.19011048410242992,44.12317116089003,-0.6091139910641855
27,13.7,10.08,18.7,123.38,27,123.38,10.08,-0.04498107103256343,-0.22490535516281712,39.626317408605665,-0.7205967579416661
28,13.7,10.37,18.45,121.31,28,121.31,10.37,-0.048033176483489065,-0.2401658824174453,37.98346143701652,-0.7694914872654948
29,13.7,10.26,18.55,122.13,29,122.13,10.26,-0.046815794134433354,-0.23407897067216676,38.60407151805774,-0.7499890220336223
30,13.7,9.05,19.53,130.27,30,130.27,9.05,-0.03536096413354533,-0.17680482066772663,46.162224313238085,-0.5664826454193962
31,13.7,9.1,19.49,129.97,31,129.97,9.1,-0.035761357833953865,-0.17880678916976933,45.81985166799515,-0.5728969524999409
32,13.7,9.12,19.47,129.83,32,129.83,9.12,-0.03594881159660116,-0.1797440579830058,45.679306990254915,-0.5758999617775505
33,13.7,8.83,19.69,131.69,33,131.69,8.83,-0.03348999684230352,-0.16744998421151758,47.73770324650114,-0.5365097494137023
34,13.7,8.31,20.07,135.03,34,135.03,8.31,-0.029252307551419054,-0.14626153775709527,51.78390747680271,-0.46862196697373326
35,13.7,7.81,20.41,138.15,35,138.15,7.81,-0.02551059434083779,-0.12755297170418894,56.1566494294688,-0.4086797213402214
36,13.7,7.37,20.7,140.81,36,140.81,7.37,-0.022494521317645424,-0.11247260658822711,60.47787447173177,-0.3603622315086797
37,13.7,7.21,20.8,141.74,37,141.74,7.21,-0.021479113335771363,-0.1073955666788568,62.17334183365476,-0.3440953956390572
38,13.7,7.05,20.89,142.69,38,142.69,7.05,-0.020463229618845637,-0.10231614809422818,63.95274881257534,-0.3278209384939071
39,13.7,6.2,21.38,147.66,39,147.66,6.2,-0.015511142104752008,-0.07755571052376004,74.98434314196437,-0.24848849651812716
40,13.7,6.04,21.47,148.59,40,148.59,6.04,-0.014654014905963532,-0.07327007452981765,77.42328023690469,-0.23475731879353576
41,13.7,4.93,21.99,154.75,41,154.75,4.93,-0.009554485454563211,-0.047772427272816054,98.9516579160207,-0.15306285698210265
42,13.7,5.35,21.8,152.42,42,152.42,5.35,-0.011363475393819312,-0.056817376969096556,89.67625468210088,-0.18204287580898537
43,13.7,4.17,22.29,158.81,43,158.81,4.17,-0.006761309759087142,-0.03380654879543571,120.95342424434426,-0.10831618234057601
44,13.7,2.63,22.75,166.82,44,166.82,2.63,-0.0026341446951612005,-0.013170723475806001,211.83621451663183,-0.04219899801648243
45,0.0,0.0,0.0,180.0,45,180.0,0.0,-0.0,-0.0,inf,-0.0
46,13.7,1.47,22.82,172.62,46,172.62,1.47,-0.0008283939889437209,-0.004141969944718604,448.06661043943944,-0.013270871702878408
47,0.0,0.0,0.0,180.0,47,180.0,0.0,-0.0,-0.0,inf,-0.0
48,0.0,0.0,0.0,180.0,48,180.0,0.0,-0.0,-0.0,inf,-0.0
49,0.0,0.0,0.0,180.0,49,180.0,0.0,-0.0,-0.0,inf,-0.0
50,0.0,0.0,0.0,180.0,50,180.0,0.0,-0.0,-0.0,inf,-0.0
51,0.0,0.0,0.0,180.0,51,180.0,0.0,-0.0,-0.0,inf,-0.0
52,0.0,0.0,0.0,180.0,52,180.0,0.0,-0.0,-0.0,inf,-0.0
53,13.7,1.47,22.79,172.61,53,172.61,1.47,-0.0008306373648815702,-0.004153186824407851,448.0632505555727,-0.013306810585402755
54,13.7,3.08,22.54,164.46,54,164.46,3.08,-0.00365563491891201,-0.018278174594560048,174.42065725866715,-0.058563271400970396
55,13.7,4.49,22.15,157.1,55,157.1,4.49,-0.007881459443427885,-0.039407297217139425,110.68827804234671,-0.1262609802837147
56,13.7,5.05,21.94,154.09,56,154.09,5.05,-0.01005184710393372,-0.0502592355196686,96.13233425266824,-0.1610305906050182
57,13.7,5.4,21.78,152.17,57,152.17,5.4,-0.011566334550404102,-0.0578316727520205,88.682402329192,-0.18529267949747372
58,13.7,6.71,21.1,144.73,58,144.73,6.71,-0.018355995626344202,-0.09177997813172101,68.02964452197338,-0.2940630499340341
59,13.7,6.31,21.32,147.03,59,147.03,6.31,-0.01610443746988757,-0.08052218734943783,73.38520147657854,-0.25799308826759887
60,13.7,6.81,21.02,144.08,60,144.08,6.81,-0.01901630914659599,-0.09508154573297994,66.774798875958,-0.3046412725284678
61,13.7,6.91,20.98,143.57,61,143.57,6.91,-0.019541702636543104,-0.0977085131827155,65.59109362211154,-0.3130580762374205
62,13.7,6.68,21.11,144.88,62,144.88,6.68,-0.018205104711271958,-0.09102552355635979,68.40264800808819,-0.29164577747457676
63,13.7,6.63,21.14,145.19,63,145.19,6.63,-0.01789504116810269,-0.08947520584051344,69.04685937821493,-0.2866785595130051
64,13.7,6.5,21.22,145.95,64,145.95,6.5,-0.017145073092307662,-0.0857253654615383,70.75855335380231,-0.2746640709387687
65,13.7,6.3,21.33,147.07,65,147.07,6.3,-0.016066465602279614,-0.08033232801139806,73.52391270006495,-0.2573847789485194
66,13.7,4.94,21.99,154.69,66,154.69,4.94,-0.009599205212681162,-0.047996026063405806,98.709754834429,-0.1537792675071522
67,13.7,5.84,21.57,149.7,67,149.7,5.84,-0.013660444939322836,-0.06830222469661418,80.65753963410368,-0.21884032792795183
68,13.7,5.07,21.93,153.95,68,153.95,5.07,-0.010158884688052129,-0.05079442344026064,95.66894004232856,-0.1627453327025951
69,13.7,4.18,22.29,158.75,69,158.75,4.18,-0.006799213071720156,-0.03399606535860078,120.60446635922597,-0.10892339340895689
70,13.7,0.94,23.01,175.32,70,175.32,0.94,-0.00033340719659701317,-0.0016670359829850656,835.5515158690702,-0.00534118328948415
71,13.7,0.91,23.01,175.46,71,175.46,0.91,-0.0003137683987065043,-0.0015688419935325215,875.7819663977493,-0.005026569747278199
72,13.7,1.05,23.0,174.76,72,174.76,1.05,-0.0004179117547229883,-0.0020895587736149412,713.0396079767016,-0.006694946310662272
73,0.0,0.0,0.0,180.0,73,180.0,0.0,-0.0,-0.0,inf,-0.0
74,0.0,0.0,0.0,180.0,74,180.0,0.0,-0.0,-0.0,inf,-0.0
75,0.0,0.0,0.0,180.0,75,180.0,0.0,-0.0,-0.0,inf,-0.0
76,0.0,0.0,0.0,180.0,76,180.0,0.0,-0.0,-0.0,inf,-0.0
77,0.0,0.0,0.0,180.0,77,180.0,0.0,-0.0,-0.0,inf,-0.0
78,0.0,0.0,0.0,180.0,78,180.0,0.0,-0.0,-0.0,inf,-0.0
79,0.0,0.0,0.0,180.0,79,180.0,0.0,-0.0,-0.0,inf,-0.0
80,0.0,0.0,0.0,180.0,80,180.0,0.0,-0.0,-0.0,inf,-0.0
81,0.0,0.0,0.0,180.0,81,180.0,0.0,-0.0,-0.0,inf,-0.0
82,0.0,0.0,0.0,180.0,82,180.0,0.0,-0.0,-0.0,inf,-0.0
83,0.0,0.0,0.0,180.0,83,180.0,0.0,-0.0,-0.0,inf,-0.0
84,0.0,0.0,0.0,180.0,84,180.0,0.0,-0.0,-0.0,inf,-0.0
85,0.0,0.0,0.0,180.0,85,180.0,0.0,-0.0,-0.0,inf,-0.0
86,0.0,0.0,0.0,180.0,86,180.0,0.0,-0.0,-0.0,inf,-0.0
87,0.0,0.0,0.0,180.0,87,180.0,0.0,-0.0,-0.0,inf,-0.0
88,13.7,1.51,22.71,172.39,88,172.39,1.51,-0.0008807557940085031,-0.004403778970042516,432.2179542518906,-0.01410970782001622
89,13.7,2.37,22.52,167.96,89,167.96,2.37,-0.0021997787365358955,-0.010998893682679478,241.1497534074643,-0.03524045535930505
90,13.7,4.12,22.08,158.88,90,158.88,4.12,-0.006717218460270558,-0.03358609230135279,122.66622486363522,-0.10760983973353434
91,13.7,4.81,21.83,155.17,91,155.17,4.81,-0.00924422704900193,-0.04622113524500965,101.86310008749263,-0.14809251732501091
92,13.7,6.02,21.26,148.38,92,148.38,6.02,-0.01484560233292741,-0.07422801166463705,77.65683098772284,-0.23782654937349712
93,13.7,6.93,20.67,142.93,93,142.93,6.93,-0.02021003415564672,-0.10105017077823358,65.2275085111143,-0.32376474717346043
94,13.7,6.94,20.64,142.82,94,142.82,6.94,-0.0203259085603287,-0.10162954280164349,65.09738436964955,-0.3256210551364658
95,13.7,7.15,20.49,141.51,95,141.51,7.15,-0.02172832057674298,-0.10864160288371488,62.68850614905022,-0.3480876956394225
96,13.7,7.27,20.33,140.64,96,140.64,7.27,-0.022682348935639307,-0.11341174467819654,61.34610076190075,-0.36337122994894167
97,13.7,7.02,20.37,141.99,97,141.99,7.02,-0.021209671159304357,-0.10604835579652178,64.08087049964122,-0.3397789319720558
98,13.7,7.28,20.12,140.24,98,140.24,7.28,-0.023126978279560687,-0.11563489139780342,61.155754872819976,-0.3704941920385622
99,13.7,7.8,19.73,136.86,99,136.86,7.8,-0.027031491635834105,-0.13515745817917052,55.92337327223017,-0.4330444960060624
100,13.7,7.27,19.91,139.87,100,139.87,7.27,-0.0235415966263805,-0.1177079831319025,61.15602452545012,-0.37713637795461563
